sexo,educ,edad,est_civil,profes,horas,IngTotalPrin,IngLiquiPrin,IngTotalSecu,IngLiquiSecun
1,9,30,5,375,48,900,900,100,100
1,8,26,1,766,24,1200,1200,700,700
1,10,46,2,231,36,4850,1844,1755,1755
2,10,30,2,239,48,1400,1400,320,320
1,6,35,1,112,24,680,680,640,640
1,9,21,6,572,30,200,200,30,30
1,9,50,2,766,24,930,810,930,930
1,1,40,1,952,84,1400,1400,140,140
2,6,62,6,572,20,950,950,70,70
2,6,25,6,777,69,215,215,30,30
2,6,45,2,941,48,600,600,300,300
1,6,22,6,335,66,1300,1300,100,100
1,9,30,5,423,48,1300,1140,400,400
1,5,21,6,983,44,300,300,200,200
2,6,44,6,941,18,120,120,720,720
2,6,42,6,941,20,720,720,480,480
2,5,33,1,942,50,230,230,240,240
1,11,56,2,235,42,8000,6160,3800,3800
2,10,56,2,235,35,8000,6160,2000,2000
2,6,27,5,971,24,150,150,350,350
1,7,42,6,861,24,600,600,200,200
1,8,54,1,394,15,1500,1500,850,850
2,3,40,6,941,60,850,850,86,86
1,8,42,5,885,33,210,210,400,400
1,7,24,6,453,44,1000,1000,100,100
1,10,26,6,235,36,4500,4500,693,693
2,10,36,1,235,40,6000,5220,2500,2500
1,6,16,6,983,9,80,80,310,310
1,8,23,1,783,45,2200,1914,210,210
1,7,18,6,983,12,90,90,260,260
1,10,26,6,323,15,400,400,1900,1900
2,3,43,5,941,32,1500,1500,500,500
1,11,46,2,235,66,6500,2820,6000,6000
2,6,42,5,941,48,300,300,200,200
2,6,31,5,942,4,20,20,40,40
1,6,17,6,945,32,150,150,100,100
1,11,51,1,254,40,8000,5500,1500,1300
2,9,22,6,381,20,300,300,500,500
1,10,56,1,235,36,8000,3760,2900,2900
2,10,35,6,241,76,7000,5825,5000,4135
1,6,34,2,983,48,100,100,300,300
2,6,29,2,941,18,150,150,400,400
1,7,24,6,455,24,480,480,120,120
1,1,56,2,971,8,25,25,25,25
1,10,51,3,243,18,2500,1575,240,240
2,5,37,1,942,25,350,350,200,200
2,7,24,6,413,30,600,600,50,50
2,10,56,5,571,40,600,600,900,814
1,6,64,1,971,16,140,140,100,100
2,4,36,5,522,42,900,900,450,450
1,6,27,6,971,24,160,160,200,200
2,3,59,2,112,9,700,700,294,294
1,8,33,1,983,55,450,450,200,200
1,5,48,5,952,48,800,800,930,850
1,9,28,1,941,50,700,700,50,50
2,10,39,5,352,36,5700,5199,930,930
1,6,52,5,423,40,930,809,2000,2000
1,9,23,6,411,56,300,261,120,120
1,5,32,1,885,30,130,130,346,346
1,5,14,6,522,10,10,10,40,40
